id,thread_number,retweets,likes,replies
998968203681427458,Thread 1,335,679,94
998968303136727041,Thread 1,60,294,13
998968508225589249,Thread 1,120,291,5
998968614509273088,Thread 1,174,465,39
998969018781523975,Thread 1,242,558,18
998969261837225985,Thread 1,119,374,8
998969661021618176,Thread 1,139,419,6
998969951498186752,Thread 1,99,355,5
998970045526106112,Thread 1,81,381,19
998972414569697280,Thread 1,128,322,8
998972530928115712,Thread 1,207,518,9
998972603661455361,Thread 1,121,340,10
998973228503764993,Thread 1,177,421,21
998974774083817472,Thread 1,262,618,37
998985720080556034,Thread 1,75,210,5
998985999022772225,Thread 1,35,153,7
998986062901972992,Thread 1,36,222,19
998995611650347008,Thread 1,47,251,19
998660806005768192,Thread 2,2425,7312,91
998660812330881024,Thread 2,155,806,3
998660819704463360,Thread 2,110,726,9
998660825429639168,Thread 2,108,573,5
998660823110184960,Thread 2,97,612,4
998660828592156672,Thread 2,136,735,3
998660834237726720,Thread 2,121,574,4
998660831360397314,Thread 2,94,517,2
998660837513428992,Thread 2,79,415,1
998660840688533510,Thread 2,126,739,1
998660844006260736,Thread 2,74,474,3
998660846770245633,Thread 2,61,345,1
998660850134142976,Thread 2,70,474,2
998660853057470464,Thread 2,70,383,4
998660855825711104,Thread 2,122,629,19
998748723000758272,Thread 2,46,326,10
999311515562868738,Thread 3,24,246,108
999311514556284928,Thread 3,1763,5439,7
999311516871442432,Thread 3,50,486,12
999311518163390465,Thread 3,25,261,2
999311520235323393,Thread 3,33,423,2
999311519308333056,Thread 3,64,475,3
999311521514598401,Thread 3,25,302,1
999311522600894465,Thread 3,19,307,4
999311525906018304,Thread 3,12,148,1
999311523674705920,Thread 3,17,232,4
999311524740005888,Thread 3,20,247,1
999311530368774147,Thread 3,13,171,5
999311527017512960,Thread 3,23,190,3
999311528070299648,Thread 3,16,186,2
999311529198501888,Thread 3,32,230,2
999311533678051328,Thread 3,46,415,7
999311534982508544,Thread 3,148,853,4
999311531446693888,Thread 3,14,205,2
999311532616962048,Thread 3,15,217,52
976133078618984449,Thread 4,18,25,2
976133286207610880,Thread 4,5,10,1
976133380227117060,Thread 4,7,9,1
976133598867853312,Thread 4,3,6,1
976133820549300226,Thread 4,6,7,1
976134027303243776,Thread 4,5,6,1
976134128159555585,Thread 4,3,3,1
976134362445045760,Thread 4,3,4,2
976134635448160256,Thread 4,5,7,3
976134919826100224,Thread 4,5,10,3
976135113305133056,Thread 4,1,5,2
976135435813638146,Thread 4,3,5,3
976135620803297282,Thread 4,3,4,2
976135725157675008,Thread 4,3,5,1
976135869735297025,Thread 4,6,8,1
976136086308245506,Thread 4,3,6,1
976136283226591232,Thread 4,3,4,1
976136435534266369,Thread 4,3,5,2
973963426140708864,Thread 5,32,47,7
973963430079156224,Thread 5,5,16,1
973963427873001473,Thread 5,7,19,1
973963433652736001,Thread 5,4,21,1
973963431727566849,Thread 5,5,20,1
973963435720499202,Thread 5,9,25,1
973963437591138304,Thread 5,11,28,1
973963439373783040,Thread 5,7,21,1
